ID,GeographyLabel,TotalHH,TotalMedIncome,WhiteHH,WhiteIncome,BlackHH,BlackIncome,NativeHH,Median income (dollars); Estimate; Households - One race-- - American Indian and Alaska Native,AsianHH,AsianIncome,NHPIHH,NHPIIncome,SORHH,SORIncome,MultiracialHH,MultiracialIncome,HispanicHH,HispanicIncome
27053000101,"Census Tract 1.01, Hennepin County, Minnesota",1101,58240,640,65000,276,52100,22,-,85,73375,0,-,23,-,55,-,55,71750
27053000102,"Census Tract 1.02, Hennepin County, Minnesota",1829,43021,1073,44570,492,40000,13,-,138,39712,0,-,0,-,113,49750,69,47917
27053000300,"Census Tract 3, Hennepin County, Minnesota",1394,71389,1072,89394,225,20329,14,-,20,-,0,-,36,-,27,-,0,-
27053000601,"Census Tract 6.01, Hennepin County, Minnesota",1989,72904,1678,78418,116,-,41,-,105,78906,0,-,0,-,49,50417,137,-
27053000603,"Census Tract 6.03, Hennepin County, Minnesota",1244,76818,1195,72875,0,-,8,-,0,-,0,-,19,-,22,-,44,-
27053001100,"Census Tract 11, Hennepin County, Minnesota",898,65167,772,66667,59,-,0,-,11,-,0,-,42,-,14,48750,54,65417
27053001700,"Census Tract 17, Hennepin County, Minnesota",1013,45819,689,60625,248,13846,5,-,12,50833,0,-,43,-,16,59167,57,-
27053002200,"Census Tract 22, Hennepin County, Minnesota",386,43542,102,60278,118,19444,4,-,129,50982,0,-,18,-,15,-,22,27813
27053002400,"Census Tract 24, Hennepin County, Minnesota",1204,48304,1030,61146,85,-,30,-,13,-,0,-,0,-,46,-,63,-
27053002700,"Census Tract 27, Hennepin County, Minnesota",917,43250,260,74318,472,34667,16,-,86,27283,0,-,10,-,73,38472,63,59875
27053003200,"Census Tract 32, Hennepin County, Minnesota",590,66319,232,77857,330,60400,3,-,7,-,0,-,0,-,18,183611,39,-
27053003300,"Census Tract 33, Hennepin County, Minnesota",652,28000,104,60357,389,21411,14,-,78,48056,0,-,12,-,55,-,48,70385
27053003800,"Census Tract 38, Hennepin County, Minnesota",2100,35000,1631,31571,100,53016,18,-,312,48913,0,-,0,-,39,-,41,-
27053005901,"Census Tract 59.01, Hennepin County, Minnesota",1657,16918,801,31037,758,10167,0,-,22,18750,0,-,25,-,51,-,45,15795
